title,sjr
Journal of the Chemical Society Faraday Transactions,238.0
IEEE Transactions on Information Technology in Biomedicine,230.0
CA A Cancer Journal for Clinicians,227.1
AFRICAN JOURNAL OF BIOTECHNOLOGY,137.7
Monographs of the Society for Research in Child Development,112.3
Discussions of the Faraday Society,111.0
Journal of Environmental Monitoring,93.0
The New England Journal of Medicine,88.7
Journal of the Chemical Society Perkin Transactions 2,82.0
Journal of the Chemical Society Faraday Transactions 1 Physical Chemistry in Condensed Phases,66.0
Nature Reviews Cancer,64.7
Journal of the Chemical Society Dalton Transactions,56.3
Nature Reviews Immunology,55.1
Chemical Reviews,46.2
Signal Transduction and Targeted Therapy,43.9
Nature Reviews Neuroscience,42.6
Nature Reviews Physics,38.1
Nature Reviews Molecular Cell Biology,37.9
Lancet Infectious Diseases,36.4
The Lancet Gastroenterology & Hepatology,35.7
Chemical Society Reviews,35.4
Cell,35.2
Nature Reviews Disease Primers,31.3
Journal of the Chemical Society Faraday Transactions 2 Molecular and Chemical Physics,31.0
Progress in Materials Science,30.1
Nature Reviews Materials,29.0
Nature Reviews Microbiology,28.8
IEEE Communications Surveys & Tutorials,28.5
Progress in Energy and Combustion Science,28.2
Cancer Cell,28.0
Journal of the Chemical Society Perkin Transactions 1,28.0
Reviews of Modern Physics,27.9
Journal of Hematology & Oncology,27.9
Nano-Micro Letters,27.5
Nature Energy,27.3
New England Journal of Medicine,26.6
Environmental Chemistry Letters,26.5
Nature Medicine,26.4
Energy & Environmental Science,26.0
Journal of Materials Chemistry,26.0
Pharmacological Reviews,25.2
Cell Metabolism,24.8
Joule,24.8
Nature Nanotechnology,24.3
Nature Catalysis,24.0
Nature Reviews Clinical Oncology,23.9
Cell Stem Cell,23.9
Molecular Cancer,23.8
The Lancet Digital Health,23.8
Artificial Intelligence Review,23.6
Nature Astronomy,23.2
Annual Review of Immunology,22.7
Annual Review of Astronomy and Astrophysics,22.7
Nature Photonics,22.4
Nature reviews. Cancer,21.0
Transactions of the Faraday Society,21.0
Progress in Polymer Science,20.8
Annual Review of Plant Biology,20.7
Nature Materials,20.4
The Lancet Planetary Health,20.3
Immunity,20.0
The Lancet Child & Adolescent Health,19.9
